protocol,outcome,model,lang,subject,n,spearman_rho,mae_log,roc_auc,brier
new_reader_new_trial_double_holdout,conditional_log_reading_time,word_length_only,L2,L2|pp02,13872,0.06340385348085549,,,
new_reader_new_trial_double_holdout,conditional_log_reading_time,cognitive_mass_provenance_risk,L2,L2|pp02,13872,8.138935085234405e-06,,,
new_reader_new_trial_double_holdout,conditional_log_reading_time,ridge_text_only,L2,L2|pp03,12735,0.18671296988726205,0.4597083922301093,,
new_reader_new_trial_double_holdout,conditional_log_reading_time,surprisal_only,L2,L2|pp03,12735,-0.0198364629796669,,,
new_reader_new_trial_double_holdout,conditional_log_reading_time,attention_only,L2,L2|pp03,12735,-0.0510615417432784,,,
new_reader_new_trial_double_holdout,conditional_log_reading_time,word_length_only,L2,L2|pp03,12735,0.18832696443303198,,,
new_reader_new_trial_double_holdout,conditional_log_reading_time,cognitive_mass_provenance_risk,L2,L2|pp03,12735,-0.034102712007470455,,,
new_reader_new_trial_double_holdout,conditional_log_reading_time,ridge_text_only,L2,L2|pp04,14757,0.05413830590423611,0.49644934224144,,
new_reader_new_trial_double_holdout,conditional_log_reading_time,surprisal_only,L2,L2|pp04,14757,0.024572564371127127,,,
new_reader_new_trial_double_holdout,conditional_log_reading_time,attention_only,L2,L2|pp04,14757,-0.0015555544511216492,,,
new_reader_new_trial_double_holdout,conditional_log_reading_time,word_length_only,L2,L2|pp04,14757,0.054502524517318685,,,
new_reader_new_trial_double_holdout,conditional_log_reading_time,cognitive_mass_provenance_risk,L2,L2|pp04,14757,0.022279992228773988,,,
new_reader_new_trial_double_holdout,conditional_log_reading_time,ridge_text_only,L2,L2|pp05,12884,0.2016936498819799,0.5354072928476873,,
new_reader_new_trial_double_holdout,conditional_log_reading_time,surprisal_only,L2,L2|pp05,12884,-0.005074562904749622,,,
new_reader_new_trial_double_holdout,conditional_log_reading_time,attention_only,L2,L2|pp05,12884,-0.05647062450676321,,,
new_reader_new_trial_double_holdout,conditional_log_reading_time,word_length_only,L2,L2|pp05,12884,0.2044764262757333,,,
new_reader_new_trial_double_holdout,conditional_log_reading_time,cognitive_mass_provenance_risk,L2,L2|pp05,12884,-0.019825233810988906,,,
new_reader_new_trial_double_holdout,conditional_log_reading_time,ridge_text_only,L2,L2|pp06,14000,0.0699235181723936,0.575246450391628,,
new_reader_new_trial_double_holdout,conditional_log_reading_time,surprisal_only,L2,L2|pp06,14000,0.00761546629624098,,,
new_reader_new_trial_double_holdout,conditional_log_reading_time,attention_only,L2,L2|pp06,14000,-0.013502906614384615,,,
new_reader_new_trial_double_holdout,conditional_log_reading_time,word_length_only,L2,L2|pp06,14000,0.06841498781707539,,,
new_reader_new_trial_double_holdout,conditional_log_reading_time,cognitive_mass_provenance_risk,L2,L2|pp06,14000,0.003627317214121571,,,
new_reader_new_trial_double_holdout,conditional_log_reading_time,ridge_text_only,L2,L2|pp07,11608,0.24112834122680857,0.48724552221894646,,
new_reader_new_trial_double_holdout,conditional_log_reading_time,surprisal_only,L2,L2|pp07,11608,0.00991845720480278,,,
new_reader_new_trial_double_holdout,conditional_log_reading_time,attention_only,L2,L2|pp07,11608,-0.05348320165156221,,,
new_reader_new_trial_double_holdout,conditional_log_reading_time,word_length_only,L2,L2|pp07,11608,0.24030045923782603,,,
new_reader_new_trial_double_holdout,conditional_log_reading_time,cognitive_mass_provenance_risk,L2,L2|pp07,11608,-0.00994606626219946,,,
new_reader_new_trial_double_holdout,conditional_log_reading_time,ridge_text_only,L2,L2|pp08,15345,0.06185316294247909,0.5218217657183293,,
new_reader_new_trial_double_holdout,conditional_log_reading_time,surprisal_only,L2,L2|pp08,15345,0.027069266261507866,,,
new_reader_new_trial_double_holdout,conditional_log_reading_time,attention_only,L2,L2|pp08,15345,-0.017605579016249068,,,
new_reader_new_trial_double_holdout,conditional_log_reading_time,word_length_only,L2,L2|pp08,15345,0.06072420121390419,,,
new_reader_new_trial_double_holdout,conditional_log_reading_time,cognitive_mass_provenance_risk,L2,L2|pp08,15345,0.02168313195653826,,,
new_reader_new_trial_double_holdout,conditional_log_reading_time,ridge_text_only,L2,L2|pp09,12343,0.17870409981118535,0.5067011560491432,,
new_reader_new_trial_double_holdout,conditional_log_reading_time,surprisal_only,L2,L2|pp09,12343,0.002583938555775024,,,
new_reader_new_trial_double_holdout,conditional_log_reading_time,attention_only,L2,L2|pp09,12343,-0.040752528857508435,,,
new_reader_new_trial_double_holdout,conditional_log_reading_time,word_length_only,L2,L2|pp09,12343,0.17785056401304872,,,
new_reader_new_trial_double_holdout,conditional_log_reading_time,cognitive_mass_provenance_risk,L2,L2|pp09,12343,-0.01020145807436032,,,
new_reader_new_trial_double_holdout,conditional_log_reading_time,ridge_text_only,L2,L2|pp10,13947,0.06019140998136928,0.5082352152330901,,
new_reader_new_trial_double_holdout,conditional_log_reading_time,surprisal_only,L2,L2|pp10,13947,0.021762523142053018,,,
new_reader_new_trial_double_holdout,conditional_log_reading_time,attention_only,L2,L2|pp10,13947,-0.0034000235856453034,,,
new_reader_new_trial_double_holdout,conditional_log_reading_time,word_length_only,L2,L2|pp10,13947,0.061230918376693096,,,
new_reader_new_trial_double_holdout,conditional_log_reading_time,cognitive_mass_provenance_risk,L2,L2|pp10,13947,0.01816779631486652,,,
new_reader_new_trial_double_holdout,conditional_log_reading_time,ridge_text_only,L2,L2|pp11,10598,0.18931979617509995,0.5088051239585386,,
new_reader_new_trial_double_holdout,conditional_log_reading_time,surprisal_only,L2,L2|pp11,10598,0.001972387363972046,,,
new_reader_new_trial_double_holdout,conditional_log_reading_time,attention_only,L2,L2|pp11,10598,-0.03581281969074765,,,
new_reader_new_trial_double_holdout,conditional_log_reading_time,word_length_only,L2,L2|pp11,10598,0.19047230220454656,,,
new_reader_new_trial_double_holdout,conditional_log_reading_time,cognitive_mass_provenance_risk,L2,L2|pp11,10598,-0.011726182698424969,,,
new_reader_new_trial_double_holdout,conditional_log_reading_time,ridge_text_only,L2,L2|pp12,13365,0.06511045432803979,0.516835261651209,,
new_reader_new_trial_double_holdout,conditional_log_reading_time,surprisal_only,L2,L2|pp12,13365,0.015245088132126444,,,
new_reader_new_trial_double_holdout,conditional_log_reading_time,attention_only,L2,L2|pp12,13365,-0.01029723404348651,,,
new_reader_new_trial_double_holdout,conditional_log_reading_time,word_length_only,L2,L2|pp12,13365,0.06524893978669305,,,
new_reader_new_trial_double_holdout,conditional_log_reading_time,cognitive_mass_provenance_risk,L2,L2|pp12,13365,0.012450686267748362,,,
new_reader_new_trial_double_holdout,conditional_log_reading_time,ridge_text_only,L2,L2|pp13,12784,0.18723443179339236,0.539181978953342,,
new_reader_new_trial_double_holdout,conditional_log_reading_time,surprisal_only,L2,L2|pp13,12784,-0.006105764432189125,,,
new_reader_new_trial_double_holdout,conditional_log_reading_time,attention_only,L2,L2|pp13,12784,-0.019534978576932958,,,
new_reader_new_trial_double_holdout,conditional_log_reading_time,word_length_only,L2,L2|pp13,12784,0.19222647166213816,,,
new_reader_new_trial_double_holdout,conditional_log_reading_time,cognitive_mass_provenance_risk,L2,L2|pp13,12784,-0.011856909217076743,,,
new_reader_new_trial_double_holdout,conditional_log_reading_time,ridge_text_only,L2,L2|pp14,13540,0.07268573889038875,0.5026311679862002,,
new_reader_new_trial_double_holdout,conditional_log_reading_time,surprisal_only,L2,L2|pp14,13540,0.029771727862909287,,,
new_reader_new_trial_double_holdout,conditional_log_reading_time,attention_only,L2,L2|pp14,13540,-0.005228980229244051,,,
new_reader_new_trial_double_holdout,conditional_log_reading_time,word_length_only,L2,L2|pp14,13540,0.07184727847356172,,,
new_reader_new_trial_double_holdout,conditional_log_reading_time,cognitive_mass_provenance_risk,L2,L2|pp14,13540,0.025444936791740667,,,
new_reader_new_trial_double_holdout,conditional_log_reading_time,ridge_text_only,L2,L2|pp15,13225,0.22972312729906189,0.5321453307550327,,
new_reader_new_trial_double_holdout,conditional_log_reading_time,surprisal_only,L2,L2|pp15,13225,-0.005772245755312211,,,
new_reader_new_trial_double_holdout,conditional_log_reading_time,attention_only,L2,L2|pp15,13225,-0.04751576482690052,,,
new_reader_new_trial_double_holdout,conditional_log_reading_time,word_length_only,L2,L2|pp15,13225,0.23281049895022612,,,
new_reader_new_trial_double_holdout,conditional_log_reading_time,cognitive_mass_provenance_risk,L2,L2|pp15,13225,-0.019763346990964027,,,
new_reader_new_trial_double_holdout,conditional_log_reading_time,ridge_text_only,L2,L2|pp16,14146,0.05074979364759904,0.5345904444843584,,
new_reader_new_trial_double_holdout,conditional_log_reading_time,surprisal_only,L2,L2|pp16,14146,0.025810515739524302,,,
new_reader_new_trial_double_holdout,conditional_log_reading_time,attention_only,L2,L2|pp16,14146,-0.001838328618269669,,,
new_reader_new_trial_double_holdout,conditional_log_reading_time,word_length_only,L2,L2|pp16,14146,0.05103359710826796,,,
new_reader_new_trial_double_holdout,conditional_log_reading_time,cognitive_mass_provenance_risk,L2,L2|pp16,14146,0.021993187445691825,,,
new_reader_new_trial_double_holdout,conditional_log_reading_time,ridge_text_only,L2,L2|pp17,13735,0.2770214471558283,0.5453820319280834,,
new_reader_new_trial_double_holdout,conditional_log_reading_time,surprisal_only,L2,L2|pp17,13735,0.005441637232196639,,,
new_reader_new_trial_double_holdout,conditional_log_reading_time,attention_only,L2,L2|pp17,13735,-0.046586576970416654,,,
new_reader_new_trial_double_holdout,conditional_log_reading_time,word_length_only,L2,L2|pp17,13735,0.279855887047111,,,
new_reader_new_trial_double_holdout,conditional_log_reading_time,cognitive_mass_provenance_risk,L2,L2|pp17,13735,-0.009794485547932127,,,
new_reader_new_trial_double_holdout,conditional_log_reading_time,ridge_text_only,L2,L2|pp18,13590,0.050797623353312074,0.507615426370092,,
new_reader_new_trial_double_holdout,conditional_log_reading_time,surprisal_only,L2,L2|pp18,13590,0.002244903411681809,,,
new_reader_new_trial_double_holdout,conditional_log_reading_time,attention_only,L2,L2|pp18,13590,-0.005490317891705915,,,
new_reader_new_trial_double_holdout,conditional_log_reading_time,word_length_only,L2,L2|pp18,13590,0.05142363334938709,,,
new_reader_new_trial_double_holdout,conditional_log_reading_time,cognitive_mass_provenance_risk,L2,L2|pp18,13590,0.0007769917619510113,,,
new_reader_new_trial_double_holdout,conditional_log_reading_time,ridge_text_only,L2,L2|pp19,11593,0.1892965876092959,0.5232864758759662,,
new_reader_new_trial_double_holdout,conditional_log_reading_time,surprisal_only,L2,L2|pp19,11593,-0.013210177905307397,,,
new_reader_new_trial_double_holdout,conditional_log_reading_time,attention_only,L2,L2|pp19,11593,-0.056144858595309724,,,
new_reader_new_trial_double_holdout,conditional_log_reading_time,word_length_only,L2,L2|pp19,11593,0.19193410691309346,,,
new_reader_new_trial_double_holdout,conditional_log_reading_time,cognitive_mass_provenance_risk,L2,L2|pp19,11593,-0.030745518753983802,,,
new_reader_known_passage_loso,fixation_occurrence,population_fixation_rate,L1,L1|pp01,18828,,,0.7814392075224129,0.14127112085752547
new_reader_known_passage_loso,conditional_log_reading_time,population_duration_prior,L1,L1|pp01,14390,0.33083209512173306,0.4374103309346018,,
new_reader_known_passage_loso,fixation_occurrence,population_fixation_rate,L1,L1|pp02,16995,,,0.7370255778526738,0.16270305432800816
new_reader_known_passage_loso,conditional_log_reading_time,population_duration_prior,L1,L1|pp02,12804,0.26447454014177846,0.45798699004614196,,
new_reader_known_passage_loso,fixation_occurrence,population_fixation_rate,L1,L1|pp03,18828,,,0.793088676852468,0.1318873019473416
new_reader_known_passage_loso,conditional_log_reading_time,population_duration_prior,L1,L1|pp03,14933,0.30184071562484627,0.45965318651698633,,
new_reader_known_passage_loso,fixation_occurrence,population_fixation_rate,L1,L1|pp04,16995,,,0.7814472538942808,0.13516554329535146
new_reader_known_passage_loso,conditional_log_reading_time,population_duration_prior,L1,L1|pp04,13676,0.2734345004388397,0.4840355522499191,,
new_reader_known_passage_loso,fixation_occurrence,population_fixation_rate,L1,L1|pp05,18828,,,0.8022974520853708,0.13495477422151456
new_reader_known_passage_loso,conditional_log_reading_time,population_duration_prior,L1,L1|pp05,14514,0.3480568453461599,0.4937622666228624,,
new_reader_known_passage_loso,fixation_occurrence,population_fixation_rate,L1,L1|pp06,16995,,,0.7635115059037082,0.14592547574037143
new_reader_known_passage_loso,conditional_log_reading_time,population_duration_prior,L1,L1|pp06,13376,0.2886443103345473,0.4690744154616735,,
new_reader_known_passage_loso,fixation_occurrence,population_fixation_rate,L1,L1|pp07,18828,,,0.7474587712155794,0.17866687807252166
new_reader_known_passage_loso,conditional_log_reading_time,population_duration_prior,L1,L1|pp07,12987,0.30874484254115353,0.4396702864384636,,
new_reader_known_passage_loso,fixation_occurrence,population_fixation_rate,L1,L1|pp08,16995,,,0.7648335550186931,0.13849320632671322
new_reader_known_passage_loso,conditional_log_reading_time,population_duration_prior,L1,L1|pp08,13755,0.25430783549578245,0.44499065623353856,,
new_reader_known_passage_loso,fixation_occurrence,population_fixation_rate,L1,L1|pp09,18828,,,0.7898230986218191,0.14518950759724703
new_reader_known_passage_loso,conditional_log_reading_time,population_duration_prior,L1,L1|pp09,13981,0.33387059391567886,0.4662320878231852,,
new_reader_known_passage_loso,fixation_occurrence,population_fixation_rate,L1,L1|pp10,16995,,,0.7041874841064863,0.2079490100385723
new_reader_known_passage_loso,conditional_log_reading_time,population_duration_prior,L1,L1|pp10,11300,0.22317225097690283,0.45797646110895346,,
new_reader_known_passage_loso,fixation_occurrence,population_fixation_rate,L1,L1|pp11,18828,,,0.7073237901656594,0.2106316811304156
new_reader_known_passage_loso,conditional_log_reading_time,population_duration_prior,L1,L1|pp11,12153,0.24895930913767228,0.46163245470007386,,
new_reader_known_passage_loso,fixation_occurrence,population_fixation_rate,L1,L1|pp12,16995,,,0.7223188880978545,0.18421558956379397
new_reader_known_passage_loso,conditional_log_reading_time,population_duration_prior,L1,L1|pp12,11965,0.24867547913983096,0.47294574974741227,,
new_reader_known_passage_loso,fixation_occurrence,population_fixation_rate,L1,L1|pp13,18828,,,0.7736081688122131,0.14942617386540633
new_reader_known_passage_loso,conditional_log_reading_time,population_duration_prior,L1,L1|pp13,14020,0.31255404706904216,0.46514271573879495,,
new_reader_known_passage_loso,fixation_occurrence,population_fixation_rate,L1,L1|pp14,16995,,,0.7091348939376694,0.18821758078653297
