subject,duration_n,fixation_n,geco_lexical_ridge_spearman_rho,word_length_only_spearman_rho,lexical_rarity_only_spearman_rho,geco_lexical_ridge_mae_log,geco_fixation_logistic_roc_auc,geco_fixation_logistic_brier
Sub24,2083,2743,0.3042783892404805,0.3806489315629399,0.378681777869423,0.42860056351790426,0.6771552539315382,0.16949682990339823
Sub25,2192,2743,0.28751287894588834,0.32537139652922475,0.3480079629312471,0.46322820498525225,0.6576980970233285,0.1561616118198083
Sub26,2067,2743,0.23447049903448777,0.35402712466803155,0.302353093095673,0.469858804483902,0.673215047391669,0.17325970029366367
Sub27,1817,2743,0.2775546267917053,0.3121429209509752,0.32108312519597537,0.47582110171116915,0.6868104926949817,0.2096927560056434
Sub28,1981,2743,0.20396795354394143,0.23071240882369842,0.19374019264422396,0.46052881481981806,0.6290670159162967,0.19455802325851948
Sub29,1447,2743,0.010618733723275589,0.168178088168814,0.18595587234455094,0.5602832889749374,0.5657205307703465,0.29881144315203056
Sub30,1531,2743,0.10537726053780543,0.16678070937525497,0.1848026344312591,0.4708223174649486,0.647770337125156,0.26666809030426614
Sub31,1814,2743,0.28760436085667374,0.4211232330691807,0.37642436493113124,0.4390576066497164,0.6329804783510147,0.22073530490995738
Sub32,1589,2743,0.2631261913080773,0.33824509800194474,0.29202304037671695,0.4841938142552484,0.6213356993978315,0.26170158469699584
Sub33,1393,2743,-0.006262159786258764,0.14739413324299644,0.1393746232782491,0.45578027910082486,0.625128552816995,0.29737579798677455
Sub34,1748,2743,0.21099549692407746,0.20928093042264123,0.1896954227030779,0.40535550628368605,0.6524470176971816,0.2281527018362066
Sub35,2314,2743,0.2971560661141811,0.34930480556612725,0.358997147964481,0.46401041027063006,0.6658728767631101,0.13706148250275738
Sub36,1794,2743,0.26337177373009907,0.313706444064215,0.28565735667670417,0.38998376410867436,0.5986942189924734,0.22918518613044953
Sub37,1776,2743,0.19781866612581184,0.320727825739997,0.2816812908531751,0.4203917079555317,0.6223852795401399,0.22994623619410126
Sub38,1483,2743,0.14162839258938761,0.16527806769761355,0.1826656969648464,0.4104872057007731,0.5862692525875264,0.2875680229357766
Sub39,2020,2743,0.3019575746237569,0.39698995881753063,0.3929065153506801,0.5129798860274892,0.6817023403585172,0.17915355208971184
Sub40,2241,2743,0.2849631374402431,0.3111089888933038,0.31141114651751245,0.46596884327235233,0.6372599739373608,0.15207821925667622
Sub41,2197,2743,0.1509873560068093,0.2185613469813192,0.21132632990794573,0.48317003406243064,0.6545910090516371,0.15474797091036052
Sub42,1904,2743,0.2533474989057243,0.3107331385380489,0.27108879870950275,0.4333812828862975,0.6834976988411574,0.19645811999222323
Sub43,1651,2743,0.33359107249930253,0.33866863255908203,0.3083580973699375,0.4797534144981856,0.7037581840731447,0.2348766699554492
Sub44,1943,2743,0.30974762214704166,0.4257609270699309,0.38548574353040277,0.41064906898213605,0.5810254760679362,0.20831773841270193
Sub45,1393,2743,0.048545949922944955,0.17043213703526686,0.18290671023419644,0.47742872805217396,0.5946677833612507,0.30186814125938244
Sub46,1488,2743,0.14062757478517915,0.23138533342055248,0.21537442107167099,0.4382430592502694,0.6310896200145654,0.27762561651466255
Sub47,1752,2743,0.2074789126059158,0.25785538857621537,0.2317855565232491,0.45639173307939085,0.6475010252086126,0.228436210671701
Sub48,1755,2743,0.1308523183528304,0.20970005345845671,0.18380397696020023,0.41444637030117326,0.6549889269524897,0.2263718030932388
Sub49,1609,2743,0.09654769717526576,0.14861476283215144,0.15470041290537725,0.39018579513202106,0.5758651456807662,0.2662698323918127
Sub50,1591,2743,0.3673353220008784,0.3618317034133374,0.32633680776428897,0.5094349985191553,0.625230517581535,0.2608956242905389
Sub51,1551,2743,0.11699297132276303,0.18767493074591887,0.19377596339371447,0.4397514199574421,0.6333192160069927,0.26619384103337235
Sub52,1253,2743,0.17313409787747713,0.14560632702448376,0.11523367281078488,0.5938588245001378,0.6642704489091951,0.31311525900466586
Sub53,1973,2743,0.2730314986707937,0.38907512102583597,0.3985162566006949,0.45767046874591294,0.6482174946189138,0.19217451135124086
Sub54,1607,2743,0.30870948624575834,0.3802584836937543,0.36414352465309835,0.44361004492197575,0.6894448911890759,0.24559497407610223
Sub55,1866,2743,0.21713595968180366,0.3260444512768804,0.2928189235515734,0.4441821217600791,0.6393088955454445,0.21156799780759616
Sub56,1733,2743,0.27211668425987146,0.3196186440746875,0.30593320858340606,0.4601339733099047,0.6497200527900453,0.2317612982433603
Sub57,2147,2743,0.16981197799571376,0.14684162316909327,0.13728294600463697,0.4374509213141534,0.6593033669581092,0.16300577236254762
Sub58,1944,2743,0.2223837131849901,0.28784648027200765,0.2424711798878421,0.4791546626402393,0.7141981102921863,0.18419855385985803
Sub59,2007,2743,0.27751827870288903,0.3590234175660381,0.35248928798541557,0.4748822796759625,0.7024547913823357,0.17692910480252852
Sub60,1859,2743,0.30287696932773417,0.40926772438157477,0.4002724871365321,0.4321438120994567,0.6801341279674032,0.20477315858288594
Sub61,1612,2743,0.2734655516837984,0.32215822750646383,0.28272770933210606,0.4924694620971086,0.6565310349215543,0.2510605423423577
